question_id,category,difficulty,phrasing_number,prompt,expected_answer,model_response,exact_match_score,fuzzy_match_score,llm_judge_score,response_time,phrasing_sensitivity
1,factual,easy,1,What is the capital of India?,New Delhi,The capital of India is New Delhi.,1,1.0,4,2.07,0.0
1,factual,easy,2,Can you tell me the capital city of India?,New Delhi,The capital city of India is New Delhi.,1,1.0,5,0.2,0.0
1,factual,easy,3,Which city serves as India's capital?,New Delhi,New Delhi serves as India's capital.,1,1.0,4,1.04,0.0
2,math,easy,1,"If a train travels 60 km in 5 hours, how far does it travel?",300,"To find the distance the train travels, we need to know its speed. We can calculate the speed by dividing the distance it traveled (60 km) by the time it took (5 hours).

Speed = Distance / Time
Speed = 60 km / 5 hours
Speed = 12 km/h

However, the question asks how far the train travels, which implies we need to know the distance it travels in a certain amount of time. Since we know the speed (12 km/h), we can use the formula:

Distance = Speed * Time

But the question doesn't specify a time. If we assume it's asking for the distance it travels in 1 hour, we can use the speed we calculated earlier:

Distance = 12 km/h * 1 hour
Distance = 12 km

If we want to know the distance it travels in a different amount of time, we would need to know that time.",0,0.0,1,1.46,0.58
2,math,easy,2,A train moves 60 km every hour for 5 hours. Total distance?,300,"To find the total distance, we need to multiply the speed of the train (60 km/h) by the time it traveled (5 hours).

Distance = Speed * Time
Distance = 60 km/h * 5 h
Distance = 300 km

So, the total distance the train traveled is 300 km.",1,1.0,1,0.28,0.58
2,math,easy,3,Calculate the distance traveled in 5 hours at 60 km/h.,300,"To calculate the distance traveled, we need to multiply the speed (60 km/h) by the time (5 hours).

Distance = Speed * Time
Distance = 60 km/h * 5 hours
Distance = 300 km

So, the distance traveled in 5 hours at 60 km/h is 300 km.",1,1.0,5,0.64,0.58
3,factual,easy,1,What is the largest ocean on Earth?,Pacific Ocean,"The largest ocean on Earth is the Pacific Ocean. It covers an area of approximately 155.6 million square kilometers (60.1 million square miles) and accounts for approximately 46% of the Earth's total ocean area. The Pacific Ocean is also the deepest ocean, with a maximum depth of about 11,022 meters (36,198 feet) in the Mariana Trench.",1,1.0,5,0.72,0.0
3,factual,easy,2,Name the biggest ocean in the world.,Pacific Ocean,"The Pacific Ocean is the largest of the world's five oceans, covering an area of approximately 155.6 million square kilometers (60.1 million square miles) and accounting for approximately 46% of the Earth's total ocean area.",1,1.0,5,0.26,0.0
3,factual,easy,3,Which ocean covers the largest area on Earth?,Pacific Ocean,"The Pacific Ocean covers the largest area on Earth, accounting for approximately 155.6 million square kilometers (60.1 million square miles) or about 46% of the Earth's total ocean area.",1,1.0,5,0.44,0.0
4,logic,medium,1,"What comes next in the sequence: 2, 4, 6, ?",8,"The sequence appears to be a simple addition of 2 each time. 

2 + 2 = 4
4 + 2 = 6
6 + 2 = 8

So, the next number in the sequence would be 8.",1,1.0,1,0.36,0.0
4,logic,medium,2,"Find the next number: 2, 4, 6.",8,"The pattern in the sequence is adding 2 to each number to get the next number. 

2 + 2 = 4
4 + 2 = 6
6 + 2 = 8

So, the next number in the sequence is 8.",1,1.0,4,0.26,0.0
4,logic,medium,3,"Complete the pattern: 2, 4, 6, __",8,"The pattern appears to be adding 2 to each number to get the next number in the sequence. 

2 + 2 = 4
4 + 2 = 6
6 + 2 = 8

So, the completed pattern is: 2, 4, 6, 8.",1,1.0,1,0.28,0.0
5,math,easy,1,What is 5 multiplied by 5?,25,5 multiplied by 5 is 25.,1,1.0,1,0.16,0.0
5,math,easy,2,Calculate 5 × 5.,25,5 × 5 = 25.,1,1.0,5,0.16,0.0
5,math,easy,3,Find the product of 5 and 5.,25,The product of 5 and 5 is 25.,1,1.0,1,0.28,0.0
6,factual,easy,1,Which planet is called the Red Planet?,Mars,The planet called the Red Planet is Mars.,1,1.0,5,0.82,0.0
6,factual,easy,2,Name the Red Planet.,Mars,The Red Planet is commonly known as Mars.,1,1.0,4,3.28,0.0
6,factual,easy,3,What planet is known as the Red Planet?,Mars,The planet known as the Red Planet is Mars.,1,1.0,5,2.73,0.0
7,coding,medium,1,Which keyword is used to define a function in Python?,def,"The keyword used to define a function in Python is `def`. 

Here's a basic example of how to define a function in Python:

```python
def greet(name):
    print(""Hello, "" + name + ""!"")

greet(""John"")  # Outputs: Hello, John!
```

In this example, `def` is used to define a function named `greet` that takes a single argument `name`. The function then prints out a greeting message with the provided name.",1,1.0,5,2.87,0.0
7,coding,medium,2,How do you start a function definition in Python?,def,"In Python, you start a function definition with the `def` keyword, followed by the function name and a pair of parentheses `()`. The parentheses can contain parameters, which are the inputs to the function.

Here's the basic syntax:

```python
def function_name(parameters):
    # function body
```

For example:

```python
def greet(name):
    print(""Hello, "" + name + ""!"")

greet(""John"")  # Output: Hello, John!
```

In this example, `greet` is the function name, and `name` is the parameter. The function body is the code inside the function definition, which in this case simply prints a greeting message.

You can also define functions with multiple parameters, like this:

```python
def greet(name, age):
    print(""Hello, "" + name + ""! You are "" + str(age) + "" years old."")

greet(""John"", 30)  # Output: Hello, John! You are 30 years old.
```

And you can also define functions with no parameters, like this:

```python
def hello():
    print(""Hello!"")

hello()  # Output: Hello!
```",1,1.0,4,4.46,0.0
7,coding,medium,3,What Python keyword creates a function?,def,"The Python keyword that creates a function is `def`. 

Here's a basic example of how to use it:

```python
def greet(name):
    print(f""Hello, {name}!"")

greet(""John"")  # Outputs: Hello, John!
```

In this example, `def` is used to define a function named `greet` that takes a `name` parameter and prints out a greeting message.",1,1.0,4,1.11,0.0
8,logic,medium,1,What color is the sky on a clear day?,Blue,"On a clear day, the sky typically appears blue. This is due to a phenomenon called Rayleigh scattering, where shorter (blue) wavelengths of light are scattered more than longer (red) wavelengths by the tiny molecules of gases in the atmosphere. As a result, our eyes perceive the sky as blue.",1,1.0,5,2.55,0.0
8,logic,medium,2,Name the color of a cloudless daytime sky.,Blue,The color of a cloudless daytime sky is typically referred to as blue.,1,1.0,5,2.87,0.0
8,logic,medium,3,Which color does the sky usually appear on a sunny day?,Blue,"On a sunny day, the sky usually appears blue. This is due to a phenomenon called Rayleigh scattering, where shorter wavelengths of light (such as blue and violet) are scattered more than longer wavelengths (such as red and orange) by the tiny molecules of gases in the atmosphere. As a result, the blue light is dispersed throughout the sky, giving it its characteristic blue color.",1,1.0,5,2.92,0.0
9,factual,easy,1,What is the chemical formula of water?,H2O,The chemical formula for water is H2O. This indicates that one molecule of water consists of two hydrogen atoms (H) bonded to a single oxygen atom (O).,1,1.0,1,2.67,0.0
9,factual,easy,2,Write the molecular formula for water.,H2O,The molecular formula for water is H2O.,1,1.0,4,0.94,0.0
9,factual,easy,3,Which formula represents water?,H2O,The formula for water is H2O. This means that one molecule of water consists of two hydrogen atoms (H) and one oxygen atom (O).,1,1.0,1,3.01,0.0
10,math,easy,1,What is half of 100?,50,Half of 100 is 50.,1,1.0,5,3.03,0.0
10,math,easy,2,Calculate 100 divided by 2.,50,100 divided by 2 is 50.,1,1.0,1,2.53,0.0
10,math,easy,3,Find 50% of 100.,50,"To find 50% of 100, you multiply 100 by 0.5 (since 50% is equal to 0.5).

100 * 0.5 = 50

So, 50% of 100 is 50.",1,1.0,1,3.01,0.0
11,coding,medium,1,Which Python data type stores multiple values?,list,"In Python, there are several data types that can store multiple values. Here are a few:

1. **Lists**: A list is a collection of items that can be of any data type, including strings, integers, floats, and other lists. Lists are denoted by square brackets `[]`.

   Example:
   ```python
fruits = ['apple', 'banana', 'cherry']
```

2. **Tuples**: A tuple is similar to a list, but it is immutable, meaning its contents cannot be modified after it is created. Tuples are denoted by parentheses `()`.

   Example:
   ```python
colors = ('red', 'green', 'blue')
```

3. **Sets**: A set is an unordered collection of unique items. Sets are denoted by curly brackets `{}`.

   Example:
   ```python
numbers = {1, 2, 3, 4, 5}
```

4. **Dictionaries**: A dictionary is a collection of key-value pairs. Dictionaries are denoted by curly brackets `{}`.

   Example:
   ```python
person = {'name': 'John', 'age': 30, 'city': 'New York'}
```

5. **Arrays**: Python has a built-in module called `array` that allows you to create arrays. Arrays are similar to lists, but they are more memory-efficient and can only store elements of the same data type.

   Example:
   ```python
import array
numbers = array.array('i', [1, 2, 3, 4, 5])
```

6. **Frozen Sets**: A frozen set is an immutable version of a set.

   Example:
   ```python
numbers = frozenset([1, 2, 3, 4, 5])
```

7. **Collections.deque**: A deque is a double-ended queue, which is a data structure that allows you to add or remove elements from both ends.

   Example:
   ```python
from collections import deque
numbers = deque([1, 2, 3, 4, 5])
```",1,1.0,4,1.49,0.0
11,coding,medium,2,What data structure in Python uses square brackets?,list,"In Python, the data structure that uses square brackets is a **list**. Lists are ordered collections of items that can be of any data type, including strings, integers, floats, and other lists.

Here's an example of a list in Python:

```python
my_list = [1, 2, 3, ""hello"", 4.5]
```

Lists are denoted by square brackets `[]` and are mutable, meaning they can be modified after creation. They support various operations like indexing, slicing, and appending elements.

Other data structures in Python that use square brackets include:

- **Tuples**: Similar to lists, but they are immutable, meaning their contents cannot be modified after creation.
- **Sets**: An unordered collection of unique elements.
- **Dict keys**: In dictionaries, keys are typically strings or other immutable types, and they are also denoted by square brackets.

However, when people refer to a data structure using square brackets, they usually mean a **list**.",1,1.0,4,4.44,0.0
11,coding,medium,3,Which Python collection type is written using []?,list,"In Python, the collection type written using `[]` is a **list**.

Here's an example:

```python
my_list = [1, 2, 3, 4, 5]
```

Lists are ordered, mutable, and can contain duplicate values. They are one of the most commonly used data structures in Python.",1,1.0,4,0.8,0.0
12,logic,medium,1,What day comes after Monday?,Tuesday,"The days of the week, in order, are:

1. Monday
2. Tuesday
3. Wednesday
4. Thursday
5. Friday
6. Saturday
7. Sunday

So, the day that comes after Monday is Tuesday.",1,1.0,5,2.93,0.0
12,logic,medium,2,Which weekday follows Monday?,Tuesday,"The weekdays in order are: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday.

So, the weekday that follows Monday is Tuesday.",1,1.0,5,2.62,0.0
